Año,Provincia,Consulta,Frecuencia,Categoria
2022,H,Heredia - Ciudad en Costa Rica,30,Alimentos y bebidas
2022,H,Telegram - Aplicación,30,Alimentos y bebidas
2022,H,Queso - Alimento,29,Alimentos y bebidas
2022,H,Fruta - Comestible,29,Alimentos y bebidas
2022,H,Pizza - Comida,29,Alimentos y bebidas
2022,H,Pan - Alimento,27,Alimentos y bebidas
2022,H,Salsa - Condimento,27,Alimentos y bebidas
2022,H,Bizcochuelo - Pastel,26,Alimentos y bebidas
2022,H,Pastel - Industria alimentaria,26,Alimentos y bebidas
2022,H,Menú - Restaurante,25,Alimentos y bebidas
2022,H,banana - Fruta,23,Alimentos y bebidas
2022,H,Café - Bebida,22,Alimentos y bebidas
2022,H,Arroz - Cereal,22,Alimentos y bebidas
2022,H,Cerveza - Bebida alcohólica,21,Alimentos y bebidas
2022,H,Solanum tuberosum - Planta,19,Alimentos y bebidas
2022,H,Té - Bebida,19,Alimentos y bebidas
2022,H,Pizza Hut - Cadena de restaurantes,18,Alimentos y bebidas
2022,H,Beneficio económico - Tema,18,Alimentos y bebidas
