,Zona,termino,menciones
232,Cinco Esquinas,curry con pollo,0
233,Cinco Esquinas,dados de queso,0
234,Cinco Esquinas,dedos de pescado,0
235,Cinco Esquinas,dedos de pollo,1
236,Cinco Esquinas,Delicias de coctel de frutas,0
237,Cinco Esquinas,dim sum,0
238,Cinco Esquinas,dobladas,0
239,Cinco Esquinas,Doraditas,0
240,Cinco Esquinas,Dulce de grosella,0
241,Cinco Esquinas,Dulce de papaya,0
242,Cinco Esquinas,Dulce pan,0
243,Cinco Esquinas,Dulces de fruta,0
244,Cinco Esquinas,dumplings,0
245,Cinco Esquinas,elote con mantquilla,0
246,Cinco Esquinas,elotes,0
247,Cinco Esquinas,empanada,0
248,Cinco Esquinas,empanada arreglada,0
249,Cinco Esquinas,Empanada casera de queso,0
250,Cinco Esquinas,Empanada de queso,0
251,Cinco Esquinas,Empanadas de chiverre,0
252,Cinco Esquinas,Empanadas de piña y fresa,0
253,Cinco Esquinas,Empanadas de plátano maduro,0
254,Cinco Esquinas,Empanadillas rellenas con jalea de piña,0
255,Cinco Esquinas,emparedado cubano,0
256,Cinco Esquinas,enchilada,0
257,Cinco Esquinas,Encurtido de pepinillos dulces,0
258,Cinco Esquinas,Encurtido de repollo agrio,0
259,Cinco Esquinas,Encurtido de verduras en mostaza,0
260,Cinco Esquinas,ensalada,4
261,Cinco Esquinas,Ensalada con atún,0
262,Cinco Esquinas,Ensalada de  mango,0
263,Cinco Esquinas,Ensalada de berros,0
264,Cinco Esquinas,ensalada de camarón,0
265,Cinco Esquinas,Ensalada de chayote,0
266,Cinco Esquinas,ensalada de pera y gorgonzola,0
267,Cinco Esquinas,ensalada de pollo,1
268,Cinco Esquinas,ensalada griega,0
269,Cinco Esquinas,ensalda cesar,0
270,Cinco Esquinas,ensalda de repollo,1
271,Cinco Esquinas,ensalda rusa,0
272,Cinco Esquinas,enyucados,0
273,Cinco Esquinas,Escabeche,0
274,Cinco Esquinas,Escabeche con atún,0
275,Cinco Esquinas,Escabeche costeño,0
276,Cinco Esquinas,Escabeche criollo,0
277,Cinco Esquinas,Escabeche de guineo,0
278,Cinco Esquinas,Escabeche de pejibaye,0
279,Cinco Esquinas,Escabeche de pescado o atún,0
280,Cinco Esquinas,Escabeche de verduras ,0
281,Cinco Esquinas,Esfera de oro Quepo,0
282,Cinco Esquinas,española,0
283,Cinco Esquinas,Estofado de bambú,0
284,Cinco Esquinas,Estofado de cubaces con cerdo,0
